pdb_id,cid,target,species,affinity,affinity_type,tanimoto
3LXE,689043,Carbonic anhydrase 4,Homo sapiens (Human),10100,Ki,1.00000
7LAF,689043,Linoleate 9S-lipoxygenase-4,Glycine max (Soybean) (Glycine hispida),600000,IC50,1.00000
8C6I,689043,Hyaluronidase-1,Homo sapiens (Human),>2000000,IC50,1.00000
2FW4,689043,Carbonic anhydrase 7,Homo sapiens (Human),6420,Ki,1.00000
4JGD,689043,Dihydroorotate dehydrogenase (fumarate),Leishmania major,1584893,IC50,1.00000
1UYM,689043,Heat shock protein HSP 90-alpha,Homo sapiens (Human),50000,IC50,1.00000
3DWW,689043,Prostaglandin G/H synthase 1,Homo sapiens (Human),>400000,IC50,1.00000
3G3E,689043,D-amino-acid oxidase,Homo sapiens (Human),6269000,IC50,0.89535
2CLT,689043,Interstitial collagenase,Homo sapiens (Human),239,IC50,1.00000
4CDE,689043,Dipeptidyl peptidase 4,Homo sapiens (Human),3370,IC50,1.00000
4PXX,689043,"Carbonic anhydrase 5A, mitochondrial",Homo sapiens (Human),6490,Ki,1.00000
8D43,689043,Alpha-glucosidase MAL62,Saccharomyces cerevisiae,>300000,IC50,1.00000
1L6M,689043,Siderophore-binding protein,Mycobacterium tuberculosis,5.7e+2,Ki,1.00000
4I5X,689043,Aldo-keto reductase family 1 member B10,Homo sapiens (Human),90000,IC50,1.00000
3LII,689043,Acetylcholinesterase,Homo sapiens (Human),>100000,IC50,1.00000
4Q0L,689043,Carbonic anhydrase 3,Homo sapiens (Human),10000,Ki,1.00000
4E2I,689043,Large T antigen,Simian virus 40,7300,IC50,1.00000
2WGP,689043,Dual specificity protein phosphatase 3,Homo sapiens (Human),>100000,IC50,1.00000
1IOX,689043,Epidermal growth factor receptor,Homo sapiens (Human),1,IC50,1.00000
1HNY,16145850,Pancreatic alpha-amylase,Sus scrofa (Pig),23000,IC50,na
2LEO,16145850,Protease,Human immunodeficiency virus 1 (HIV-1),118000,IC50,na
6UAI,16145850,Subtilisin-like protease 1,Plasmodium falciparum,300,IC50,0.95455
1FZV,16145850,Placenta growth factor,Homo sapiens (Human),23,Kd,1.00000
5LIH,16145850,O94806/P05129/P05771/P17252/P24723/P41743/Q02156/Q04759/Q05513/Q05655/Q15139,Homo sapiens (Human),>100000,IC50,na
2LEO,16145850,Protease,Human immunodeficiency virus 1 (HIV-1),>173000,IC50,na
2XV7,16145850,Vascular endothelial growth factor A,Homo sapiens (Human),48,Kd,1.00000
1HNY,16145850,Pancreatic alpha-amylase,Sus scrofa (Pig),11700,Ki,na
1HNY,16145850,Pancreatic alpha-amylase,Sus scrofa (Pig),27000,IC50,na
2XV7,16145850,Vascular endothelial growth factor receptor 1,Homo sapiens (Human),65000,IC50,1.00000
1FZV,16145850,Placenta growth factor,Homo sapiens (Human),394,Kd,1.00000
5LIH,16145850,O94806/P05129/P05771/P17252/P24723/P41743/Q02156/Q04759/Q05513/Q05655/Q15139,Homo sapiens (Human),30000,IC50,na
1SMD,16145850,Alpha-amylase,Bacillus subtilis (strain 168),42000,IC50,na
2XV7,16145850,Vascular endothelial growth factor A,Homo sapiens (Human),476,Kd,1.00000
3LPO,16145850,"Sucrase-isomaltase, intestinal",Rattus norvegicus (Rat),400000,IC50,1.00000
5LIH,16145850,O94806/P05129/P05771/P17252/P24723/P41743/Q02156/Q04759/Q05513/Q05655/Q15139,Homo sapiens (Human),15000,IC50,na
2CS5,3084331,Tyrosine-protein phosphatase non-receptor type 1,Homo sapiens (Human),15600,IC50,0.87805
7LAF,3084331,Polyunsaturated fatty acid 5-lipoxygenase,Homo sapiens (Human),>40000,IC50,0.87805
6B19,3084331,Reverse transcriptase,Human immunodeficiency virus 1,>435000,IC50,na
3PE6,3084331,Monoglyceride lipase,Rattus norvegicus (Rat),315,IC50,0.07792
1W6K,3084331,Lanosterol synthase,Rattus norvegicus,600,IC50,0.86747
2J8T,3084331,Aldo-keto reductase family 1 member B1,Homo sapiens (Human),84000,IC50,0.87805
2WGP,3084331,Dual specificity protein phosphatase 3,Homo sapiens (Human),120000,IC50,0.87805
1JY1,3084331,Tyrosyl-DNA phosphodiesterase 1,Homo sapiens (Human),>100000,IC50,0.87805
2CS5,3084331,Tyrosine-protein phosphatase non-receptor type 1,Homo sapiens (Human),9600,IC50,0.87805
4I5X,3084331,Aldo-keto reductase family 1 member B10,Homo sapiens (Human),30000,IC50,0.87805
2CS5,3084331,Tyrosine-protein phosphatase non-receptor type 1,Homo sapiens (Human),>360000,IC50,0.87805
3OP3,3084331,M-phase inducer phosphatase 1,Homo sapiens (Human),>360000,IC50,0.87805
7LAF,3084331,Polyunsaturated fatty acid 5-lipoxygenase,Homo sapiens (Human),31800,IC50,na
7CFM,3084331,G-protein coupled bile acid receptor 1,Homo sapiens (Human),>10000,EC50,0.87805
7LEU,3084331,Transcription factor p65,Homo sapiens (Human),>10000,IC50,0.87805
5IF4,3084331,Bcl-2-like protein 11,Homo sapiens (Human),>350000,EC50,0.88095
2CS5,3084331,Tyrosine-protein phosphatase non-receptor type 1,Homo sapiens (Human),8930,IC50,na
7LEU,3084331,Transcription factor p65,Homo sapiens (Human),>10000,IC50,0.87805
7LAF,3084331,Polyunsaturated fatty acid 5-lipoxygenase,Homo sapiens (Human),42000,IC50,0.87805
3DWW,3084331,Prostaglandin G/H synthase 2,Homo sapiens (Human),>40000,IC50,na
7LAF,3084331,Polyunsaturated fatty acid lipoxygenase ALOX15B,Homo sapiens (Human),>40000,IC50,0.87805
4RWA,97214,Delta-type opioid receptor,Homo sapiens (Human),>26000,Ki,0.94737
3PM0,97214,Cytochrome P450 1B1,Homo sapiens (Human),35,Ki,1.00000
5JVS,97214,POsterior Segregation,Caenorhabditis elegans,93141,EC50,0.95175
6C5Z,97214,Glucose-6-phosphate 1-dehydrogenase,Homo sapiens (Human),>80000,IC50,0.91129
5N2R,97214,Adenosine receptor A2a,Rattus norvegicus (rat),6480,Ki,0.89474
3U79,97214,Alpha-xylosidase,Blautia obeum,60000,IC50,0.96053
6Q20,97214,Neuraminidase,Influenza A virus,26000,IC50,0.89474
2HW6,97214,MAP kinase-interacting serine/threonine-protein kinase 2,Homo sapiens (Human),252,IC50,0.89474
3PM0,97214,Cytochrome P450 1B1,Homo sapiens (Human),>800,Ki,0.99123
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,109647.82,IC50,0.87109
2HW6,97214,MAP kinase-interacting serine/threonine-protein kinase 1,Homo sapiens (Human),1205,IC50,0.89474
2WAJ,97214,Mitogen-activated protein kinase 10,Homo sapiens (Human),1.59e+4,IC50,0.95175
7LAF,97214,Polyunsaturated fatty acid 5-lipoxygenase,Rattus norvegicus,240,IC50,0.97414
7LEU,97214,Transcription factor p65,Homo sapiens (Human),2290,EC50,0.90351
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,45708.82,IC50,0.87938
2WAJ,97214,Mitogen-activated protein kinase 14,Homo sapiens (Human),2.32e+4,IC50,0.89474
6C0V,97214,ATP-dependent translocase ABCB1,Homo sapiens (Human),900,IC50,0.96203
8EF5,97214,Mu-type opioid receptor,MOUSE,>50000,Ki,0.87938
1A8J,97214,Taste receptor type 2 member 31,Homo sapiens (Human),11300,IC50,0.92735
4I8V,97214,Cytochrome P450 1A1,Homo sapiens (Human),89,Ki,0.89474
5EJK,97214,Integrase,Human immunodeficiency virus 1,39100,IC50,0.95175
5X02,97214,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens (Human),230,IC50,0.89474
3LII,97214,Acetylcholinesterase,Rattus norvegicus (rat),>100000,IC50,0.96053
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,229.09,IC50,0.88843
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,204.17,IC50,0.89912
4I8V,97214,Cytochrome P450 1A1,Homo sapiens (Human),630,Ki,0.98276
3LII,97214,Acetylcholinesterase,Electrophorus electricus (Electric eel),>100000,IC50,0.94397
2ARQ,97214,Plasminogen,Homo sapiens (Human),2300,IC50,0.91228
7QK9,97214,Adenosine receptor A3,Homo sapiens (Human),4467,Ki,0.93103
4JGD,97214,Dihydroorotate dehydrogenase (fumarate),Leishmania major,199526,IC50,0.91026
1BHS,97214,17-beta-hydroxysteroid dehydrogenase type 2,Homo sapiens (Human),9300,IC50,0.92735
2QMZ,97214,Sodium-dependent dopamine transporter,Rattus norvegicus (rat),3417,EC50,0.89655
2WAJ,97214,Mitogen-activated protein kinase 10,Homo sapiens (Human),1.91e+4,IC50,0.92735
7LAF,97214,Polyunsaturated fatty acid 5-lipoxygenase,Homo sapiens (Human),480,IC50,0.87938
5WWW,97214,Zinc finger protein mex-5,Caenorhabditis elegans,7076,EC50,0.91129
8EF5,97214,Mu-type opioid receptor,MOUSE,18500,Ki,0.90040
5W2I,97214,Inositol polyphosphate multikinase,Homo sapiens,7200,IC50,0.89474
7LAF,97214,Polyunsaturated fatty acid 5-lipoxygenase,Rattus norvegicus,180,IC50,0.87600
3PM0,97214,Cytochrome P450 1B1,Homo sapiens (Human),2.5,IC50,0.89474
3LII,97214,Acetylcholinesterase,Electrophorus electricus (Electric eel),>100000,IC50,0.92241
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,1412.54,IC50,0.93860
1SCF,97214,Mast/stem cell growth factor receptor Kit,Homo sapiens (Human),600,IC50,0.90351
5UKE,97214,Serine/threonine-protein kinase 33,Homo sapiens (Human),9681,EC50,0.91129
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,120.23,IC50,0.86400
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,141.25,IC50,0.94397
3T9C,97214,Inositol hexakisphosphate kinase 2,Homo sapiens,900,IC50,0.89474
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,64.57,IC50,0.89200
5UEN,97214,Adenosine receptor A1,Rattus norvegicus (rat),1200,Ki,0.93860
1XV8,97214,Alpha-amylase 1A,Homo sapiens (Human),48000,IC50,0.95175
1YOW,97214,Steroidogenic factor 1,Homo sapiens (Human),>67536,IC50,0.89474
2HI4,97214,Cytochrome P450 1A2,Homo sapiens (Human),2437,IC50,0.89474
8BHT,97214,Broad substrate specificity ATP-binding cassette transporter ABCG2,Homo sapiens (Human),8300,IC50,0.96203
4BYI,97214,Aurora kinase B,Homo sapiens (Human),4.270e+4,IC50,0.88716
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,169.82,IC50,0.99123
7LAF,97214,Polyunsaturated fatty acid 5-lipoxygenase,Rattus norvegicus,15,IC50,0.89683
6Q20,97214,Neuraminidase,Influenza A virus (A/Puerto Rico/8/34/Mount Sinai(H1N1)),46600,IC50,0.89474
6C0V,97214,ATP-dependent translocase ABCB1,Homo sapiens (Human),3200,IC50,0.96203
2ZNP,97214,Peroxisome proliferator-activated receptor gamma,Mus musculus,7300,EC50,0.89474
5X02,97214,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens (Human),1480,IC50,0.86404
5X02,97214,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens (Human),580,IC50,0.90351
3TJM,97214,3-oxoacyl-acyl-carrier protein reductase,Plasmodium falciparum,70000,IC50,0.93860
5UKE,97214,Serine/threonine-protein kinase 33,Homo sapiens (Human),11000,EC50,0.95175
4F7N,97214,Cyclin-dependent kinase 5,Rattus norvegicus,>250000,EC50,0.86207
4BYI,97214,Aurora kinase B,Homo sapiens (Human),3.86e+3,IC50,0.89474
2WAJ,97214,Mitogen-activated protein kinase 14,Homo sapiens (Human),5.25e+4,IC50,0.89744
5TPT,97214,Amyloid-beta precursor protein,Homo sapiens (Human),>50000,IC50,na
2WAJ,97214,Mitogen-activated protein kinase 14,Homo sapiens (Human),1.86e+4,IC50,0.89474
3LII,97214,Acetylcholinesterase,Rattus norvegicus (rat),>100000,IC50,0.94397
5WWW,97214,Zinc finger protein mex-5,Caenorhabditis elegans,36029,EC50,0.95175
1H7U,97214,DNA gyrase subunit A/B,Escherichia coli (strain K12),>500,IC50,na
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,302,IC50,0.96053
2WAJ,97214,Mitogen-activated protein kinase 10,Homo sapiens (Human),3.48e+4,IC50,0.89474
8EF5,97214,Mu-type opioid receptor,MOUSE,28000,Ki,0.94017
3PM0,97214,Cytochrome P450 1B1,Homo sapiens (Human),29,IC50,0.89474
6HBU,97214,ATP-binding cassette sub-family C member 2,Homo sapiens (Human),>50000,IC50,0.89474
2R9P,97214,Serine protease 1/Trypsin-2/Trypsin-3,Homo sapiens (Human),61000,IC50,0.86404
3B7T,97214,M1 family aminopeptidase,Plasmodium falciparum (isolate FcB1 / Columbia),15570,IC50,0.95175
2IIM,97214,Tyrosine-protein kinase Lck,Homo sapiens (Human),>8,IC50,0.89362
5X02,97214,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens (Human),290,IC50,0.94737
5JCO,97214,Tubulin alpha-1A chain,Sus scrofa (Pig),>50000,IC50,0.98276
2WAJ,97214,Mitogen-activated protein kinase 14,Homo sapiens (Human),2.22e+4,IC50,0.95175
3LII,97214,Acetylcholinesterase,Rattus norvegicus (rat),>100000,IC50,0.93860
4RWA,97214,Delta-type opioid receptor,MOUSE,37500,Ki,0.87938
3PM0,97214,Cytochrome P450 1B1,Homo sapiens (Human),670,Ki,0.98276
3PM0,97214,Cytochrome P450 1B1,Homo sapiens (Human),9.8,IC50,0.90283
4I8V,97214,Cytochrome P450 1A1,Homo sapiens (Human),210,Ki,1.00000
2WAJ,97214,Mitogen-activated protein kinase 10,Homo sapiens (Human),2.86e+4,IC50,0.89474
2WID,97214,Cholinesterase,Equus caballus (Horse),>100000,IC50,0.92241
5UEN,97214,Adenosine receptor A1,Rattus norvegicus (rat),1610,Ki,0.89474
7QK9,97214,Adenosine receptor A3,Homo sapiens (Human),1720,Ki,0.93860
7YXC,97214,Nuclear receptor subfamily 0 group B member 1,Homo sapiens (Human),>833.72,IC50,0.89474
4F7N,97214,Cyclin-dependent kinase 5,Rattus norvegicus,40000,EC50,0.95175
4BYI,97214,Aurora kinase B,Homo sapiens (Human),5.31e+3,IC50,0.96203
5YZ5,97214,Glycogen synthase kinase-3 beta,Homo sapiens (Human),24860,EC50,0.91129
4I8V,97214,Cytochrome P450 1A1,Homo sapiens (Human),>800,Ki,0.99123
5VAR,97214,Lysine-specific histone demethylase 1A,Homo sapiens (Human),27900,IC50,0.89474
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,91.2,IC50,0.97414
4I8V,97214,Cytochrome P450 1A1,Homo sapiens (Human),12,IC50,0.89474
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,6760.83,IC50,0.96581
1XQZ,97214,Serine/threonine-protein kinase pim-1,Homo sapiens (Human),2710,IC50,0.89474
2HI4,97214,Cytochrome P450 1A2,Homo sapiens (Human),19,IC50,0.89474
2HW6,97214,MAP kinase-interacting serine/threonine-protein kinase 2,Homo sapiens (Human),1703,IC50,na
3TEG,97214,"RNA-editing ligase 1, mitochondrial",Trypanosoma brucei brucei,>96559,IC50,0.95175
3LII,97214,Acetylcholinesterase,Rattus norvegicus (rat),>100000,IC50,0.92241
4CDE,97214,Dipeptidyl peptidase 4,Sus scrofa (pig),490,IC50,0.89474
6B19,97214,Reverse transcriptase,Human immunodeficiency virus 1,>636000,IC50,0.89744
5C7L,97214,"Glyceraldehyde-3-phosphate dehydrogenase, glycosomal",Trypanosoma cruzi,81000,IC50,0.95745
4RWA,97214,Delta-type opioid receptor,MOUSE,12500,Ki,0.90040
5JCO,97214,Tubulin alpha-1A chain,Sus scrofa (Pig),25000,IC50,0.90726
2WAJ,97214,Mitogen-activated protein kinase 14,Homo sapiens (Human),1.89e+4,IC50,0.92735
2WAJ,97214,Mitogen-activated protein kinase 14,Homo sapiens (Human),3.24e+4,IC50,0.90351
1Z9E,97214,PC4 and SFRS1-interacting protein,Homo sapiens (Human),4964,IC50,0.91129
5N2R,97214,Adenosine receptor A2a,Rattus norvegicus (rat),3000,Ki,0.93860
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,38.9,IC50,0.90040
4RWA,97214,Delta-type opioid receptor,Homo sapiens (Human),8400,Ki,0.90351
4RWA,97214,Delta-type opioid receptor,Homo sapiens (Human),3100,Ki,0.97436
3LII,97214,Acetylcholinesterase,Homo sapiens (Human),>250000,IC50,0.90351
2IIM,97214,Tyrosine-protein kinase Lck,Homo sapiens (Human),>8,IC50,0.87660
7LAF,97214,Polyunsaturated fatty acid 5-lipoxygenase,Rattus norvegicus,95,IC50,0.99123
5JCO,97214,Tubulin alpha-1A/beta chain,Sus scrofa (Pig),40000,IC50,0.90726
5JVS,97214,POsterior Segregation,Caenorhabditis elegans,48026,EC50,0.91129
2QMZ,97214,Sodium-dependent dopamine transporter,Rattus norvegicus (rat),4345,EC50,0.89177
5X02,97214,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens (Human),1100,IC50,1.00000
1Z9E,97214,PC4 and SFRS1-interacting protein,Homo sapiens (Human),1835,IC50,0.95175
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,34.99,IC50,0.87451
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,32.36,IC50,0.88627
2WID,97214,Cholinesterase,Equus caballus (Horse),>100000,IC50,0.94397
6C0V,97214,ATP-dependent translocase ABCB1,Homo sapiens (Human),400,IC50,0.89873
2DMO,97214,Neutrophil cytosol factor 1 [S99G],Homo sapiens (Human),50000,IC50,0.93860
4F7N,97214,Cyclin-dependent kinase 5,Rattus norvegicus,19100,EC50,0.89474
7LO7,97214,Multidrug resistance-associated protein 1,Homo sapiens (Human),3000,IC50,0.89474
2J8T,97214,Aldo-keto reductase family 1 member B1,Rattus norvegicus,77.62,IC50,0.87600
3PM0,97214,Cytochrome P450 1B1,Homo sapiens (Human),16,Ki,0.89474
5UEN,97214,Adenosine receptor A1,Rattus norvegicus (rat),1288,Ki,0.93103
2ACS,97214,Glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase,Plasmodium falciparum 3D7,8950,IC50,0.91129
2WAJ,97214,Mitogen-activated protein kinase 14,Homo sapiens (Human),3.32e+4,IC50,0.91026
5FDO,97214,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens (Human),>50000,Ki,0.83468
2WAJ,97214,Mitogen-activated protein kinase 10,Homo sapiens (Human),7.8e+3,IC50,0.89744
4CDE,97214,Dipeptidyl peptidase 4,Sus scrofa (pig),430,IC50,0.93860
2HI4,97214,Cytochrome P450 1A2,Homo sapiens (Human),24,IC50,0.90283
4I8V,97214,Cytochrome P450 1A1,Homo sapiens (Human),140,IC50,0.89474
3QCB,97214,Receptor-type tyrosine-protein phosphatase S,Homo sapiens (Human),6600,IC50,na
4RWA,97214,Delta-type opioid receptor,MOUSE,12000,Ki,0.94017
4I8V,97214,Cytochrome P450 1A1,Homo sapiens (Human),23,IC50,0.90283
5TPT,97214,Amyloid-beta precursor protein,Homo sapiens (Human),>50000,IC50,na
1HNY,45359583,Pancreatic alpha-amylase,Sus scrofa (Pig),23000,IC50,na
2LEO,45359583,Protease,Human immunodeficiency virus 1 (HIV-1),118000,IC50,na
6UAI,45359583,Subtilisin-like protease 1,Plasmodium falciparum,300,IC50,0.94481
1FZV,45359583,Placenta growth factor,Homo sapiens (Human),23,Kd,0.98980
5LIH,45359583,O94806/P05129/P05771/P17252/P24723/P41743/Q02156/Q04759/Q05513/Q05655/Q15139,Homo sapiens (Human),>100000,IC50,na
2LEO,45359583,Protease,Human immunodeficiency virus 1 (HIV-1),>173000,IC50,na
2XV7,45359583,Vascular endothelial growth factor A,Homo sapiens (Human),48,Kd,0.98980
1HNY,45359583,Pancreatic alpha-amylase,Sus scrofa (Pig),11700,Ki,na
1HNY,45359583,Pancreatic alpha-amylase,Sus scrofa (Pig),27000,IC50,na
2XV7,45359583,Vascular endothelial growth factor receptor 1,Homo sapiens (Human),65000,IC50,0.98980
1FZV,45359583,Placenta growth factor,Homo sapiens (Human),394,Kd,0.98980
5LIH,45359583,O94806/P05129/P05771/P17252/P24723/P41743/Q02156/Q04759/Q05513/Q05655/Q15139,Homo sapiens (Human),30000,IC50,na
1SMD,45359583,Alpha-amylase,Bacillus subtilis (strain 168),42000,IC50,na
2XV7,45359583,Vascular endothelial growth factor A,Homo sapiens (Human),476,Kd,0.98980
3LPO,45359583,"Sucrase-isomaltase, intestinal",Rattus norvegicus (Rat),400000,IC50,0.98980
5LIH,45359583,O94806/P05129/P05771/P17252/P24723/P41743/Q02156/Q04759/Q05513/Q05655/Q15139,Homo sapiens (Human),15000,IC50,na
1HNY,10010849,Pancreatic alpha-amylase,Sus scrofa (Pig),23000,IC50,na
2LEO,10010849,Protease,Human immunodeficiency virus 1 (HIV-1),118000,IC50,na
6UAI,10010849,Subtilisin-like protease 1,Plasmodium falciparum,300,IC50,0.95455
1FZV,10010849,Placenta growth factor,Homo sapiens (Human),23,Kd,1.00000
5LIH,10010849,O94806/P05129/P05771/P17252/P24723/P41743/Q02156/Q04759/Q05513/Q05655/Q15139,Homo sapiens (Human),>100000,IC50,na
2LEO,10010849,Protease,Human immunodeficiency virus 1 (HIV-1),>173000,IC50,na
2XV7,10010849,Vascular endothelial growth factor A,Homo sapiens (Human),48,Kd,1.00000
1HNY,10010849,Pancreatic alpha-amylase,Sus scrofa (Pig),11700,Ki,na
1HNY,10010849,Pancreatic alpha-amylase,Sus scrofa (Pig),27000,IC50,na
2XV7,10010849,Vascular endothelial growth factor receptor 1,Homo sapiens (Human),65000,IC50,1.00000
1FZV,10010849,Placenta growth factor,Homo sapiens (Human),394,Kd,1.00000
5LIH,10010849,O94806/P05129/P05771/P17252/P24723/P41743/Q02156/Q04759/Q05513/Q05655/Q15139,Homo sapiens (Human),30000,IC50,na
1SMD,10010849,Alpha-amylase,Bacillus subtilis (strain 168),42000,IC50,na
2XV7,10010849,Vascular endothelial growth factor A,Homo sapiens (Human),476,Kd,1.00000
3LPO,10010849,"Sucrase-isomaltase, intestinal",Rattus norvegicus (Rat),400000,IC50,1.00000
5LIH,10010849,O94806/P05129/P05771/P17252/P24723/P41743/Q02156/Q04759/Q05513/Q05655/Q15139,Homo sapiens (Human),15000,IC50,na
1CSK,5281764,Proto-oncogene tyrosine-protein kinase Src,Homo sapiens (Human),74000,IC50,0.96319
2NYY,5281764,Botulinum neurotoxin type A,Clostridium botulinum,700,Ki,1.00000
5EJK,5281764,Integrase,Human immunodeficiency virus 1,80,IC50,1.00000
2IIM,5281764,Tyrosine-protein kinase Lck,Homo sapiens (Human),118000,IC50,0.96319
6XE8,5281764,Tyrosine-protein phosphatase YopH,Yersinia enterocolitica,379000,IC50,1.00000
1Z3K,5281764,Tyrosine-protein phosphatase non-receptor type 1 [1-301],Homo sapiens (Human),1.400e+6,Ki,1.00000
1Z3K,5281764,Tyrosine-protein phosphatase non-receptor type 1 [1-301],Homo sapiens (Human),1.600e+6,Kd,1.00000
5EJK,5281764,Integrase,Human immunodeficiency virus 1,3000,Kd,1.00000
